task,lookback,horizon,val_loss,test_loss_mae_scaled
ENERGY,72,12,0.09017209708690643,0.09736166894435883
ENERGY,72,24,0.13162972033023834,0.1343083381652832
ENERGY,72,72,0.17073091864585876,0.17272397875785828
WEATHER,72,12,0.114104725420475,0.11552480608224869
WEATHER,72,24,0.14144688844680786,0.13888975977897644
WEATHER,72,72,0.18941844999790192,0.17989934980869293
