task,lookback,horizon,val_loss,test_loss_mae_scaled
ENERGY,168,12,0.09101693332195282,0.09740665555000305
ENERGY,168,24,0.12984199821949005,0.1317407190799713
ENERGY,168,72,0.1647879034280777,0.16367700695991516
WEATHER,168,12,0.11449917405843735,0.11563262343406677
WEATHER,168,24,0.14170698821544647,0.13871756196022034
WEATHER,168,72,0.18948505818843842,0.17982015013694763
