lookback,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
24,353.7128293967496,357.75045930129147,416.39055900841794,401.883669983465
72,337.30470777781403,357.35720694947264,446.8078079825381,439.64287962822215
168,319.99235095219365,336.77619234437327,462.2978837221937,446.1552769390883
