lookback,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
24,442.7453781153701,451.6891618169512,561.0095691616388,557.0095827023075
72,438.1087142951558,457.3825302471257,658.0005863424757,657.6354631287597
168,433.2270830856644,451.3100057229118,672.8722754165672,664.2771520884625
