task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB
ENERGY,168,12,224.036849975586,366.9640197753906,60.91263961791992,529.033447265625,855.05517578125,71.33252716064453,130819,797.5071575641632,1325.41,166.1941196926956,1147.390625,5.39923357963562,8.6400000000001,160.02271197504277,0.6171257949063459,1.5445480346679688,130819.0,130819.0,1.5445480346679688,1.5445480346679688
ENERGY,168,24,280.394287109375,451.3100280761719,65.82821655273438,582.3920288085938,910.6978149414062,74.27828979492188,130819,656.6483969688416,1079.07,164.32995267803915,1433.69921875,5.546457052230835,8.920000000000073,160.8233853791831,0.6348239730148604,1.5445480346679688,130819.0,130819.0,1.5445480346679688,1.5445480346679688
ENERGY,168,72,336.77618408203125,542.314208984375,69.8622817993164,686.125244140625,1039.2296142578125,80.29064178466797,130819,989.5988569259644,1706.2599999999998,172.41935841561423,2197.85546875,6.4614338874816895,10.450000000000728,161.72880790820196,0.7436337768997225,1.5445480346679688,130819.0,130819.0,1.5445480346679688,1.5445480346679688
WEATHER,168,12,9.833927154541016,34.553123474121094,65.10848999023438,39.45635223388672,127.92732238769533,56.39146423339844,130694,808.9248812198639,1337.5299999999995,165.3466262507584,2320.93359375,5.204501390457153,8.449999999999818,162.3594532128194,0.5948681438401136,1.5431175231933594,130694.0,130694.0,1.5431175231933594,1.5431175231933594
WEATHER,168,24,11.568825721740724,38.19859313964844,67.41581726074219,38.39455795288086,125.04253387451172,57.98476791381836,130694,555.3161106109619,904.2400000000008,162.83338133394884,2320.93359375,5.733755826950073,9.270000000000437,161.6741326240148,0.6562613971557827,1.5431175231933594,130694.0,130694.0,1.5431175231933594,1.5431175231933594
WEATHER,168,72,13.14212417602539,41.39027786254883,70.15877532958984,39.72954177856445,126.7149658203125,62.46107864379883,130694,973.2101516723633,1477.1800000000003,151.78427778025286,2452.796875,10.25345253944397,11.140000000000327,108.64633114695661,1.1800497801178467,1.5431175231933594,130694.0,130694.0,1.5431175231933594,1.5431175231933594
