task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Time_Sec,Infer_Time_Sec,Latency_ms_per_sample,Size_MB
ENERGY,24,12,221.26861572265625,367.3618469238281,60.68185043334961,529.033447265625,855.05517578125,71.33252716064453,130819,323.0088093280792,2.001213312149048,0.2287362341009313,1.5445442199707031
ENERGY,24,24,273.3381652832031,451.68914794921875,64.97017669677734,582.3920288085938,910.6978149414062,74.27828979492188,130819,400.1622612476349,2.566441774368286,0.2937440510894227,1.5445442199707031
ENERGY,24,72,357.7504577636719,561.6823120117188,69.13825225830078,686.125244140625,1039.2296142578125,80.29064178466797,130819,934.4077696800232,3.483482599258423,0.40090719291730037,1.5445442199707031
WEATHER,24,12,9.488682746887207,33.96504211425781,64.54989624023438,39.45635223388672,127.92732238769531,56.39146423339844,130694,338.9908962249756,2.5678629875183105,0.29350359898483375,1.5431137084960938
WEATHER,24,24,10.390210151672363,36.6839714050293,66.78309631347656,38.39455795288086,125.04253387451172,57.98476791381836,130694,380.7459764480591,2.212427854537964,0.25322511783655305,1.5431137084960938
WEATHER,24,72,12.114376068115234,39.312923431396484,69.10052490234375,39.72954177856445,126.7149658203125,62.46107864379883,130694,696.0612473487854,3.464951276779175,0.39877445929096267,1.5431137084960938
