task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB
ENERGY,72,12,222.6255645751953,362.7184753417969,61.073638916015625,529.033447265625,855.05517578125,71.33252716064453,130819,423.59112071990967,690.4399999999999,162.99680664376774,1003.13671875,2.7513484954833984,4.480000000000132,162.82924563553036,0.3144757681430333,1.5445442199707031,130819.0,130819.0,1.5445442199707031,1.5445442199707031
ENERGY,72,24,285.0210876464844,457.3825378417969,66.09679412841797,582.3920288085938,910.6978149414062,74.27828979492188,130819,340.3556694984436,539.1099999999999,158.39606867558442,1181.12109375,3.083113431930542,5.069999999999936,164.44416048699424,0.3528800997974753,1.5445442199707031,130819.0,130819.0,1.5445442199707031,1.5445442199707031
ENERGY,72,72,357.3572082519531,551.6475219726562,69.93030548095703,686.125244140625,1039.2296142578125,80.29064178466797,130819,682.8670880794525,1070.2799999999995,156.73328216917534,1982.11328125,4.638089418411255,7.4699999999998,161.05769695485077,0.5337886314203308,1.5445442199707031,130819.0,130819.0,1.5445442199707031,1.5445442199707031
WEATHER,72,12,9.72139835357666,34.68882751464844,65.07365417480469,39.45635223388672,127.92732238769533,56.39146423339844,130694,566.3703334331512,859.4800000000005,151.75229867534102,2064.625,3.2776870727539062,5.139999999999873,156.81789889970352,0.3746356238145966,1.5431137084960938,130694.0,130694.0,1.5431137084960938,1.5431137084960938
WEATHER,72,24,11.087684631347656,37.68943405151367,67.14088439941406,38.39455795288086,125.04253387451172,57.98476791381836,130694,412.648485660553,692.2400000000002,167.75537147358898,2070.265625,3.1732072830200195,5.309999999999945,167.33857975222745,0.3631918602518049,1.5431137084960938,130694.0,130694.0,1.5431137084960938,1.5431137084960938
WEATHER,72,72,13.765997886657715,42.576358795166016,70.24738311767578,39.72954177856445,126.7149658203125,62.46107864379883,130694,602.0813405513763,923.6099999999997,153.40286067563108,2185.74609375,4.535496950149536,7.170000000000073,158.08631510078905,0.5219814650879889,1.5431137084960938,130694.0,130694.0,1.5431137084960938,1.5431137084960938
