task,lookback,horizon,val_loss,test_loss_mae_scaled
ENERGY,24,12,0.089651919901371,0.0952553004026413
ENERGY,24,24,0.1304924041032791,0.13307400047779083
ENERGY,24,72,0.17755550146102905,0.1763552874326706
WEATHER,24,12,0.11015436798334122,0.11308697611093521
WEATHER,24,24,0.13556426763534546,0.13443416357040405
WEATHER,24,72,0.17756801843643188,0.1699279546737671
