task,lookback,horizon,val_loss,test_loss_mae_scaled
ENERGY,72,12,0.08692373335361481,0.09280198067426682
ENERGY,72,24,0.12709222733974457,0.1296767145395279
ENERGY,72,72,0.16748487949371338,0.16640157997608185
WEATHER,72,12,0.11008322238922119,0.11264579743146896
WEATHER,72,24,0.13517636060714722,0.13352222740650177
WEATHER,72,72,0.17950645089149475,0.17288987338542938
