task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Params,Deploy_Params,Train_Size_MB,Deploy_Size_MB,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB
ENERGY,168,12,211.10023498535156,351.0859680175781,61.485069274902344,529.033447265625,855.05517578125,71.33252716064453,54020,54020,54020,0.798832893371582,0.798832893371582,1221.1699092388153,2008.93,164.50863919929165,1172.85546875,8.705296516418457,12.580000000000155,144.50972435314395,0.9950047452758551,0.798832893371582
ENERGY,168,24,261.933349609375,433.2270812988281,65.62757873535156,582.3920288085938,910.6978149414062,74.27828979492188,56360,56360,56360,0.8256120681762695,0.8256120681762695,1074.9897291660309,1710.9300000000003,159.15779970542857,1384.90234375,8.63237977027893,12.61999999999989,146.19375347051155,0.9880256117979777,0.8256120681762695
ENERGY,168,72,319.99237060546875,506.43817138671875,68.9103775024414,686.125244140625,1039.2296142578125,80.29064178466797,65720,65720,65720,0.9327306747436523,0.9327306747436523,826.1395711898804,1316.2199999999998,159.3217473052721,1493.85546875,8.633229494094849,12.510000000000218,144.9052177815624,0.9935814816543732,0.9327306747436523
WEATHER,168,12,10.181638717651367,33.799949645996094,64.7132339477539,39.45635223388672,127.92732238769531,56.39146423339844,56168,56168,56168,0.8234148025512695,0.8234148025512695,1224.266182422638,2009.33,164.125255508066,1591.2109375,8.761675596237183,12.659999999999854,144.4929096146502,1.0014488051476949,0.8234148025512695
WEATHER,168,24,11.514902114868164,36.48455047607422,66.93452453613281,38.39455795288086,125.04253387451172,57.98476791381836,60848,60848,60848,0.8769750595092773,0.8769750595092773,1298.632943868637,2012.17,154.94524526736024,1615.54296875,8.909822463989258,12.980000000001382,145.6819151275182,1.0197805269531026,0.8769750595092773
WEATHER,168,72,13.101600646972656,39.756290435791016,69.66119384765625,39.72954177856445,126.7149658203125,62.46107864379883,79568,79568,79568,1.0912084579467773,1.0912084579467773,631.8124809265137,1018.4299999999985,161.191814145003,1742.6875,8.695170879364014,12.630000000001019,145.25303959207307,1.0007101944255972,1.0912084579467773
