horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,289.04864426352435,572.4886523116619,623.9440729559036,619.1066981686026
2,305.7688424672545,447.5267140245898,611.4566692912136,606.7517387706224
3,331.7400001561461,403.7283049390214,620.7381976214946,616.2846676531298
4,355.28637777805784,403.451175357196,637.5514456067399,633.4684685099461
5,378.9528620114188,419.5826617244585,639.7349379138606,635.5672409339451
6,395.8139634839575,437.7637354973428,640.1029898136463,635.490611584317
7,411.1973879728415,452.6367132744359,646.0572385749981,641.3453973982082
8,425.7716953723682,463.99029041697366,646.6343792879918,642.3603365597934
9,437.678628834436,473.40356040479554,641.9666149993467,637.9156268560057
10,446.2213212652664,481.7751863594639,640.836975710988,636.6766450515887
11,458.5543680461356,489.5627848417883,635.9270903558466,631.2798215481104
12,466.592004156151,496.9035383228612,629.1948418418456,623.7422130969389
13,474.072608770146,503.5495094201984,623.447619715231,617.715542874055
14,482.0138073088967,509.6453509621927,623.5693349258103,617.8841214100736
15,488.09623457749296,515.3703665106619,637.693458972431,631.5095969165427
16,491.3743952926213,520.8735598173564,658.5889302440106,651.8014362892541
17,496.531621509524,525.9847214255585,664.1947271201736,657.3892276498009
18,496.4242938755266,530.4770353303053,665.1482106802368,658.5116521757767
19,502.289772551377,534.2107613794215,660.7669413981821,654.281775201923
20,505.122559934161,537.4247259735575,647.448950975836,641.5772808934084
21,507.2630841691369,540.3185243494029,632.9619948441768,627.6794311895378
22,507.9555858698192,543.2111360527232,628.426762613265,623.3851261551471
23,509.54209572433086,546.542515985232,629.9598511867798,624.8793575766573
24,514.5325903373057,550.2034238663647,637.2791258574447,632.4797489148747
25,512.8251153789673,553.8068412541478,643.8828804582661,639.7523095773416
26,520.411607973541,556.2108575677602,655.4722061350185,651.9707155947536
27,520.4119047240611,557.2958361996754,671.9754410408639,668.5782836479939
28,525.497226853813,557.3201338890009,676.1555090050945,672.3732131877528
29,527.699088326889,556.6642935987807,668.2468477893702,664.520631280254
30,525.3203477211651,555.612402472461,658.8517190226532,655.5887577024481
31,531.0557164464769,554.318570535361,654.4404755378629,651.269892994306
32,529.6145063474885,552.7924259787999,657.4076446723283,653.9535038722164
33,527.5554607407128,551.0725853695977,678.658859193214,674.9965939783312
34,530.6597936275434,549.5727471745223,704.2861832070652,700.6771866841926
35,528.2220752263031,548.5176133278364,707.2469875721184,703.6924593328154
36,527.8207557638382,547.8356449862852,693.7660317474016,689.8042371901456
37,525.4942867309097,547.3353532792966,684.0223912293615,679.7086434965934
38,526.6083304232408,546.9370179262495,689.9416555738175,685.8066440738529
39,527.5195159888432,546.7229818713976,707.1446148561452,703.0988005420942
40,534.7731356895497,546.9756954854524,715.1086748973287,710.8089607079539
41,528.5149582377384,547.7249615809106,704.222475531897,699.4606431838479
42,532.317263680846,548.7988561229262,696.1468357653204,691.2726772996227
43,536.5334200342111,549.8949381837539,684.0735534196241,679.193228028741
44,535.147835327462,550.9252733083679,666.5630936787484,662.0323427112894
45,538.6369701915396,551.9660691762624,654.9249465835392,651.1004454389789
46,536.8097992404043,553.2099436624318,655.1902793558073,652.2164178315378
47,534.2491630252009,555.12799110331,655.1519044012003,652.778258598338
48,528.7431133321038,557.5682486710971,653.0297463758471,650.9877617891326
49,528.087904111964,559.9898176881535,647.8389732737965,645.8861166899671
50,529.922103791439,561.2610433440972,651.9566468956587,650.0348562837182
51,532.7013431156928,561.4388791854946,668.7355587931189,666.6966675501369
52,531.8488561134898,561.4387226353424,681.7271834803433,679.4006669949691
53,535.6357558674465,562.2032015275059,675.6509293128001,673.1529467869921
54,535.7855982701836,563.4125915704107,657.9088837507776,655.4296990156118
55,537.0269119620035,564.3702483440626,643.8900981326412,641.7016177614744
56,537.0030949032889,564.8873919185311,641.5465250089517,639.7352100331439
57,532.0676774240549,565.3396054627697,651.3092762802034,649.4924860769244
58,535.4695900211402,566.2578779995571,661.2504019673372,659.0812695747113
59,534.1810728627977,567.6967130956764,655.670336895893,653.0195313240391
60,534.7866824904406,569.6206527449149,643.5377181123251,640.5291768314828
61,536.6281418045985,571.8476406946124,641.5757424380181,638.4936032666136
62,538.0482714087439,574.0544941488149,652.2221509942673,649.1286237011266
63,535.7230487590631,576.0551499614193,667.3405988470561,664.0041910270163
64,534.83126764477,577.943034346766,670.5137337436408,666.7061829908107
65,535.9611372221485,579.7433848557397,660.5814460619254,656.2779386047769
66,536.9222101439425,581.5054038250639,657.0719331085145,652.5141254170835
67,534.8364554584101,583.2439910116535,659.0626393367124,654.4362405335281
68,535.5850058737967,585.3563417517596,657.8509751521788,653.2552003524147
69,540.0777063899294,588.1817987362587,656.5487138442462,652.1321140112689
70,538.482111959365,591.7804527636903,666.6690485826987,662.8768137138568
71,542.4622390983683,596.4636395888551,676.5994612246487,673.2221282235416
72,548.3615886998994,602.1199945160871,677.885460192743,674.575048871413
