horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,63.96572259287502,76.72363804601588,72.5257344111892,50.95394953116201
2,65.26973962382334,71.0151446759611,71.85124168331528,50.35313561002718
3,65.9526488495286,69.01574767358103,71.92051259109961,51.05385237723886
4,66.42364963758217,68.50729009858529,72.38472166999777,51.78905555834525
5,66.85813153970321,68.41775224359449,72.4943807597317,52.07346373856285
6,67.48357115469216,68.39132242280364,72.71490304773685,52.3633147340837
7,67.57995491671616,68.41896711911849,73.38611586878994,53.11593405791767
8,68.01388542598148,68.43767102596836,73.39417099331665,53.080010227077935
9,67.96227465604892,68.50414655108902,73.42220094158479,53.468530221266455
10,68.2647695470735,68.62664945762461,73.63849346569296,53.89387072407931
11,68.44851829039018,68.77462661611244,73.76325953845875,54.05591716791851
12,68.50399796738046,68.92903885718829,73.79345432553667,54.31768816532274
13,68.37207342483286,69.07583582802116,73.14142987044083,53.75747250143336
14,68.57588102921866,69.1855716018957,73.1188645097317,53.86276258275875
15,68.77030926978692,69.22580484953248,73.42526846385282,54.17350790372707
16,69.01277832144467,69.20201957434445,74.03729261619092,54.99814726306733
17,68.91166003280259,69.17097108484515,74.15791725222196,54.79940056017424
18,69.14461472049042,69.17595224043353,74.3869938436908,54.77442062763047
19,68.91360141527267,69.16749798135427,75.16292399109267,55.73318972278192
20,69.11197656260177,69.13326292764619,75.52998417849628,56.21180609521337
21,69.02947639610655,69.08008973207133,75.15815732138887,55.57357452895712
22,69.19001142410572,69.02579896944944,74.79191973325082,55.05807192121361
23,69.12006267579697,68.97774095979804,74.36580842498458,54.79618253903049
24,69.03197906666149,69.01881858395656,74.09302107203078,54.5116105422598
25,69.07644708506334,69.10184954195037,74.30646093487499,54.866311733333184
26,69.20978438937851,69.19653171220007,74.76362067224403,55.31258775241439
27,69.1853798418468,69.31162938962522,74.80354995056327,55.34768657918823
28,69.16641288698764,69.43883843573353,74.48794316712214,55.046065894275685
29,69.42312939970782,69.6048486681697,74.79231714806272,55.5124763626089
30,69.49939221864774,69.7773571061578,74.41305454211594,54.990220036320906
31,69.5179866330002,69.88559845119252,74.24953345191193,55.02503728589875
32,69.42588335942226,69.99305586733001,74.13086829939849,55.17060425417222
33,69.76422368372285,70.06669660626291,73.86263850634627,54.69841547028111
34,69.9136888464707,70.0869409410166,73.3883258170175,54.2383100226825
35,69.99427085349065,70.17033797542919,73.70451400474771,54.7919479144652
36,70.21133638816268,70.25862763710509,74.28966564149749,55.46281509891045
37,70.353831205072,70.35067228971285,73.37248369843034,54.34111534844109
38,70.37303990701731,70.39844043020918,72.53005239432422,53.77260028479406
39,70.21228920893972,70.39453810634951,72.91786160626094,54.35834801233732
40,70.28579751443513,70.38181364243266,73.15249332952789,54.39141204274394
41,70.16418417915823,70.37397039590473,73.3220751343314,54.80334163564811
42,70.14146629747442,70.34505803467941,73.70232515721966,54.95280411339315
43,70.48761797199768,70.34436998205152,73.53602101301226,54.84308439643083
44,70.3869956251555,70.32723062905727,73.63992869729618,54.50499483567085
45,70.37374579643426,70.31359818265162,73.33834753449112,54.05186624220958
46,70.5058257070118,70.30295887262078,72.93736622625188,53.32734905741143
47,70.60816314658184,70.32650072354598,73.2239454915543,53.58332644158558
48,70.7270374517601,70.37369361811952,73.7381409492111,54.20120868846136
49,70.73541035744574,70.45760521864536,74.43307188796999,54.68843775224418
50,70.84087532027374,70.51755426782499,75.20535340592616,55.46205039315779
51,70.79416771452965,70.56756801432466,75.61209026965616,55.63992333041365
52,70.83748929584647,70.70366147612035,74.80504196612024,54.82803831373737
53,70.78396945964562,70.85289282866476,74.64941866277029,54.73324301404793
54,70.56612349004338,70.9797100322671,74.79306536728755,55.10287478845581
55,70.86399012715881,71.07664273158497,74.50064654568014,54.99433056122237
56,70.67951733725081,71.1462124319266,74.11138299727118,55.05877823422686
57,70.65287823433003,71.18479168453135,74.11601045933783,55.251911662092944
58,70.65640893292976,71.23369461502504,73.93369547391457,55.23978214522827
59,70.8405095490977,71.33664281955397,73.67557862385922,55.04597512876096
60,70.8126959558016,71.42246629054992,74.40860073003624,55.3482771630349
61,70.81873349591892,71.45532548757902,73.86709610506536,54.91462919460803
62,70.78796536062856,71.46142232428039,73.74084166087727,55.30166456822641
63,70.88288593211595,71.42762555750048,74.01239324159418,55.71365292094404
64,71.27335291819041,71.35579326889822,74.4675047764213,56.20014394361876
65,71.18732170391098,71.28717919929043,74.56471690634174,56.31552655415602
66,71.34496206999756,71.22509810921287,74.63693549017779,56.28224378559362
67,71.45037863993579,71.19696069634996,74.5327413395643,56.28288580025045
68,71.49695362910033,71.17622696440334,74.71005700653123,56.085646673628574
69,71.7638466637689,71.18852063416855,74.21314397495432,55.47758879424114
70,71.71296233567713,71.22176529966741,74.33158240284837,55.39331365655706
71,71.47591529676029,71.27838978846532,74.3402508288507,55.22587508997165
72,71.4277863200306,71.35197690848825,74.64570007488261,55.73469145931789
