horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,27.93256620455126,71.76392616226991,29.465818958945725,28.214374304773905
2,30.77573620931587,56.04618999571996,31.90481534684931,30.823379276874448
3,33.14097698420368,46.62927404003911,33.46617482014877,32.528595563649446
4,34.39589171381754,41.91923996171597,34.603401472431145,33.7220611994818
5,35.29487282991736,39.79534384169392,35.49959809264612,34.63700988704334
6,36.38490665943944,38.79210774137879,36.17357489768116,35.36320440252842
7,37.17310989366425,38.277688300651,36.62124443714438,35.830753381417246
8,37.18667309014441,38.09518312502217,36.962619791503286,36.19884504850813
9,37.38371121651957,38.178507066835934,37.25161362755373,36.54518791415495
10,37.777530759962346,38.46089218426282,37.48250169969548,36.8236565523084
11,37.988305556507086,38.90919835744021,37.56297877485822,36.91892427708912
12,38.45735119359386,39.51056837586569,37.65385658477755,36.97784768737361
13,38.53470922905594,40.12746893787784,37.74446454006183,37.03235040422584
14,38.85988732610554,40.61758317672972,37.8639775073006,37.1647810315618
15,38.59649769859081,40.87055482336972,38.012541600559445,37.30655097641532
16,38.93082298987516,40.87322840559005,38.22138772865147,37.501466505214
17,38.74776971367301,40.69342217153002,38.22994379564496,37.52956333816865
18,38.91016201358557,40.412845429823285,38.19311529033448,37.52659243025859
19,38.535540390595706,40.1217355156884,38.22997517547683,37.54044527709631
20,38.45276082258614,39.858864193150666,38.38711024197364,37.64265716410135
21,38.43814788484329,39.62045804837703,38.37173151896621,37.60799689769328
22,38.581076368166485,39.38367882503253,38.45531939927356,37.69405228200888
23,38.85807291385307,39.23794488577074,38.54257526978071,37.80342145481959
24,38.62935166121965,39.27108499887573,38.69695535934162,37.963120881790125
25,38.58081725564632,39.586030521901485,38.8065687437705,38.05182283871915
26,38.82906181565254,40.21928578597614,38.93509294524998,38.21557344761582
27,39.54676212644905,41.0110246448066,38.98899636187795,38.31463585543127
28,39.52715074069675,41.77513793660884,39.053192408355216,38.366594741412
29,39.31502031351906,42.262780887044464,39.1940149040968,38.51655890896127
30,39.29580285254029,42.40453425180514,39.31933490024722,38.65193878981108
31,39.57365994655055,42.26598660962391,39.55866420792082,38.84394217596329
32,39.65279087232389,41.94536699893256,39.65430961928003,38.90805231813248
33,39.75121532680775,41.56446446987222,39.58908668397624,38.86897582930435
34,39.60169486407577,41.25683445134261,39.60650512837731,38.90649888447312
35,40.09202107078191,41.09207073079199,39.71610110079593,39.0242447602348
36,40.11637361332791,41.08370716443693,39.83513809544564,39.14917473162044
37,40.06451906507537,41.23336690775184,40.00278913070104,39.32185578217566
38,39.92896201694749,41.476977224451126,40.14552354677276,39.46413310017184
39,40.30408075504193,41.750974341536015,40.38542537375832,39.662483150847066
40,40.32837995433681,42.00166294733138,40.65142900540448,39.93524314435507
41,40.90161719988099,42.21386603802625,40.49194247687959,39.82578959497142
42,41.35026342684298,42.33463170891123,40.35273113794951,39.73167577986233
43,41.1915862438392,42.36789804068326,40.349629229678655,39.72251866291562
44,40.55022361217449,42.34910831086982,40.51446733723921,39.848699574070565
45,40.447915305707554,42.30008363372519,40.60971880569628,39.938174940115616
46,40.306576077734846,42.24420414586556,40.615017115888456,39.953345664767184
47,41.04057865774812,42.226178791838365,40.760796072320446,40.10453560510717
48,41.07710805451144,42.27504705339301,40.894960112113495,40.22163704821974
49,41.67818477007384,42.41059298810726,40.85046326473001,40.16570743772795
50,42.22215904550359,42.69566144916946,40.966357081767065,40.2813496510759
51,42.44776960239351,43.11212116339448,41.23189723004752,40.55626849477036
52,42.41245933132369,43.59236814644864,41.36971014324114,40.65607199838191
53,41.36790071024866,43.98474377767288,41.37145908280681,40.60673683616705
54,41.30002299042357,44.161566155924085,41.40137853093752,40.61972750886473
55,41.81341450778444,44.117055266514456,41.498224890641474,40.71471403163942
56,41.52002889128676,43.89823886222095,41.318305248350576,40.5388218971068
57,41.56264004072286,43.57765487045853,41.02351073825262,40.2963182167959
58,41.76857864155728,43.261901205899534,40.78940764249657,40.09002911147826
59,41.53327552750702,42.9992411356601,40.67281506003339,40.01028664634039
60,41.50378964288951,42.83579305193923,40.67149734814526,40.0489477712436
61,41.46333151811498,42.80554446389677,40.777867813367216,40.18469197822966
62,41.045901426786166,42.84750577405768,40.86351735784401,40.27943362615696
63,40.89862919924619,42.96199901182893,41.00671419830041,40.37214424664476
64,41.21235000791927,43.0961966278178,41.10369129113055,40.40754351592459
65,41.64073298416046,43.20849969819207,41.00501970464817,40.302204566818496
66,41.85234940721793,43.28871817681046,40.95115720200712,40.27035917041205
67,41.77948841467704,43.34501085129249,41.01850156266679,40.34035277366534
68,41.3704129990092,43.45265680872605,41.0717501640269,40.35561343242195
69,41.60357532288025,43.609347892632485,41.00195494081304,40.28823919701985
70,41.40238783367224,43.84030831212405,40.89719540622827,40.21761980876939
71,41.48910430838426,44.08284192838258,40.834585501452814,40.198622126027495
72,41.55363295249095,44.32730356444569,40.84821998404495,40.237670757968175
