horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,166.26043684646368,198.6944547163152,389.1279547380144,387.0756319951512
2,217.6094209645092,235.02975674632657,405.9263664082489,403.7469635877254
3,259.8885814444142,273.32574329239145,425.8875619051609,423.80969414894713
4,296.1662316760956,307.3280823736233,450.3154932813757,448.067404487541
5,330.129878744953,338.8991523190932,470.4171034499415,467.1564626166898
6,359.8386620192901,368.0102448372404,480.7814101281179,475.7202033936712
7,387.9255646138429,392.33053980141847,495.21644190491736,488.8813488203749
8,404.0627419851628,410.7192988376954,515.733526923889,508.7114222473096
9,417.8580298763408,424.6734691499296,545.7341926062873,538.707700629941
10,433.2628296132608,436.25953421431376,578.3292993657825,572.073732940885
11,445.1733629621335,447.48254827690886,592.1213239222534,586.6434737273868
12,460.0513485058726,460.18740435579,604.7160903653105,599.0446089230826
