horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,105.6859950116009,130.50175540473668,276.0980303844335,263.6622919261993
2,134.44224665409934,145.35830417028012,288.83545732399784,275.99188170271987
3,159.13596592464688,166.7856316958336,303.49377884691995,290.9258579385175
4,181.72428228829065,187.2982900468864,319.0434379176173,306.0957077193493
5,204.01231078369057,206.9668238203053,331.74168398266227,316.5997353048658
6,222.7996598538496,225.4021139763676,332.3462589556801,314.8986292793793
7,239.93177535428808,241.56250764756183,333.4264977761091,315.9800197306748
8,249.023848713959,254.0838232205728,341.3881723221427,325.3006032085901
9,258.9127761475149,263.764419344342,362.5812759936219,347.39667385414384
10,270.3833845432642,271.2983254508872,389.5355134027606,374.1900149636112
11,278.9269875342466,277.5256404134756,399.5871824622662,384.0969210258869
12,289.60599151133454,284.6755239466565,404.7422386334383,388.6909713358867
