horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,0.9951274182124518,0.9866558061381756,0.955671151436678,0.9568347930591444
2,0.9932643231067132,0.9916725253663268,0.9576374529088146,0.9588680674723598
3,0.9918582440907586,0.9903495349848516,0.9590000123281596,0.960320752377336
4,0.9901253738952204,0.988738879006096,0.9576218158014228,0.959015436827762
5,0.988489772055976,0.9872508492879448,0.9567259897028224,0.9581894902104682
6,0.9867863859925964,0.985779065797793,0.9576252533886324,0.9590743422816012
7,0.9854812311293908,0.9843990466484156,0.9580839263399124,0.9594564393708552
8,0.9840539536900688,0.983195561497792,0.9578222070152212,0.9591640599875348
9,0.9832572813756734,0.9821485038734292,0.9576402143638474,0.9590046236985406
10,0.9821465460498996,0.9812042959809608,0.9549002530862638,0.9563563672102872
11,0.981083085732956,0.9803253058362172,0.9520606928537872,0.9536738385184172
12,0.9804195149379032,0.9794820227994452,0.9509611597267928,0.9526038333385204
13,0.9793604002197992,0.9786856583703942,0.950375997566886,0.9520650292532704
14,0.9786448058302332,0.9779424031857424,0.9506062559607344,0.9519890150432224
15,0.9781005777368904,0.9772647347795164,0.9540116945513591,0.9549365003980828
16,0.9778570412110156,0.9766357071457494,0.9574596247183011,0.9581519071971416
17,0.977250959322704,0.976077252877766,0.9601544654504098,0.9606751766194768
18,0.976698071552776,0.9756112343704672,0.9626506187973048,0.9630892415193496
19,0.976783109427856,0.9752380974656664,0.9630277785758248,0.963461072168003
20,0.976124892670978,0.9749245640615344,0.9612733582115874,0.9617098581023064
21,0.976126747259628,0.974636127335884,0.9590473308733498,0.9595461780850506
22,0.976014416215359,0.9743171722294698,0.9563090202993704,0.957020488618391
23,0.9759253845471432,0.9738844037188348,0.9527309108297572,0.9537077744251568
24,0.9755868522698952,0.9732061278934684,0.9514420900974182,0.9524539913194906
