horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,54.26114156926032,54.75442412011744,77.02726816799444,55.2745446998695
2,55.54190224556027,54.27305041571473,76.52110628697459,54.77788115777501
3,57.548407859627936,56.27827596454331,77.08620270292744,55.32521449984571
4,59.57917113960375,58.17906057585158,77.55695954104655,55.76002341433826
5,60.593159012549,59.94932014820403,77.97855659732849,56.23513429451842
6,61.89188975426418,61.39916787892774,78.7463974103627,56.98756576863707
7,62.910180294718096,62.57234372755437,79.73229047800878,57.86471322193177
8,63.88078373662538,63.48453474644414,81.03026155227754,58.867371951084536
9,64.58734981574565,64.19434670601922,82.84004015282437,60.58457875769848
10,65.2590196823331,64.76614135602908,85.12542517518821,63.2327723442236
11,65.51120602502026,65.2561111254651,87.04839319497614,65.30341218595538
12,66.25667258454838,65.84488561769209,89.30580393598979,67.54989357260041
