horizon_step,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
1,9.643132312773885,24.3842071554696,14.93393365744934,12.911973059044518
2,10.355407491544844,18.9578240322155,15.036010839639362,13.004377899891733
3,10.70073628660274,15.777524047647413,14.9184348078907,12.936446276412648
4,11.58201932012589,14.145057884635923,14.951189351127326,12.99704136126812
5,11.486670851881668,13.294447484022438,14.784780175247455,12.913269006168456
6,11.801735978489528,12.67717262717469,14.870701488025412,12.927809234165991
7,12.06971063277708,12.18209428438906,14.74200046548826,12.819833518630952
8,11.94569461579354,11.872582730032606,14.602623908508615,12.704774052593615
9,11.982522856325074,11.77639833960852,14.431963777036348,12.636653594284583
10,11.925746013657234,11.845961340867312,14.291892546082511,12.57159042337693
11,12.454921470815746,11.977114075028592,14.111528133756693,12.514953808260948
12,12.741595285383532,12.120314076528134,13.949031032153211,12.479223859518534
13,12.61967778895094,12.20834876611033,13.719679999783228,12.426254203991828
14,12.73070196905808,12.239415117614389,14.214630543167043,12.773720075350312
15,12.874881910686172,12.231482184355109,14.941973046570157,13.209770373362462
16,12.776977588236132,12.214692935963363,15.560706936962868,13.544677710392495
17,12.642349772645474,12.215209705602842,15.79708305979918,13.602151297703504
18,12.41950198891286,12.231605248641712,16.31348211453754,13.78126609961886
19,12.551144048808249,12.242542116480712,16.782823940468326,13.946626214823734
20,12.61001390913702,12.233458410718567,17.330613842035767,14.1729449243475
21,12.49712740345945,12.191666840682927,17.095533550117967,14.07507653353489
22,12.283098899113282,12.114734267634663,17.146125559102664,14.090238396262595
23,12.394310111540443,12.062940757471424,16.301651013778212,13.72552899193682
24,12.377717675149349,12.077021031115518,15.696194357784355,13.488824987688114
25,12.539389071864962,12.178475105026513,15.53342594217664,13.499981906719686
26,12.87590094130007,12.327406072834975,15.64261684337413,13.57687670355623
27,12.806627183012022,12.462196386156386,15.212175324268728,13.356401332252478
28,12.9076697064954,12.570511038375082,15.088123786116212,13.313962329709614
29,13.098433113298908,12.636976133562971,15.409100857937784,13.484355412427664
30,12.993335862426395,12.6617313317292,15.340197437355538,13.42007838557469
31,13.016647953441478,12.671345167116394,15.6065021295474,13.525874864188426
32,13.014520222420549,12.685418786009198,15.659931711758304,13.55984083585678
33,13.065621156911726,12.712416069258907,15.737093123857465,13.556301214927409
34,13.199885721756557,12.769810531882614,15.170696155407557,13.3831181896695
35,13.393973702940194,12.850007478300803,15.524826382418206,13.69400047647874
36,13.450987390853433,12.926226539384466,16.41521517320867,14.125988614024376
37,13.660241539467265,12.990556330215176,15.623522104940236,13.786004769028777
38,13.416740522886876,13.010500407856007,14.799317467834756,13.396076982358306
39,13.827026112377329,12.993123879181228,14.626594753328428,13.330137888555848
40,13.70560298646934,12.957024361069903,15.05338094680132,13.52745622537467
41,13.71616147999347,12.924119823544856,15.323731078333482,13.66424763948945
42,13.620687624842107,12.913051003677474,15.528644981371867,13.673656389928796
43,13.413065171470963,12.931467586695758,15.713739479052984,13.70897291900052
44,13.360545948570364,12.962080360613369,16.139651404941986,13.844805494455732
45,13.67606816067077,12.970995917949882,15.99330860079366,13.724321328792488
46,13.52518601620371,12.966681338748788,15.63868294207107,13.513325223203402
47,13.853984764308622,12.96475142159679,15.564203036861093,13.443167952958584
48,13.66276104951956,12.983089877058068,15.70157492970925,13.529834663985616
49,13.838545081093088,13.07135609455403,15.465168419846034,13.469194174443546
50,14.066513250427969,13.18511227268081,15.96464564799482,13.787074189186136
51,13.868014133343502,13.2862952948727,16.42516461856521,14.022091271340566
52,14.111782935884335,13.380008409431513,15.965464378623071,13.847548262196788
53,13.77224633899357,13.436909321183512,15.984649721908044,13.863449056129056
54,13.805138138502038,13.438304924928206,16.228734861426826,13.9586875438577
55,13.806140011257856,13.414374354076456,16.207378274679236,13.95242807712896
56,13.65425934269181,13.396810566729862,15.862437567406571,13.798619827102948
57,13.592134394477329,13.40772852552537,15.910372427124642,13.804733490434169
58,13.62777900837155,13.471596134415169,15.553253064682528,13.607452321412598
59,13.732138680050134,13.551065414820986,15.550895804641502,13.59059558578288
60,13.696561710108345,13.611704220464889,15.652178134864176,13.62405378999138
61,13.78914645505676,13.603438044493306,15.11778055335267,13.375999315933289
62,13.799006322791003,13.530960303691426,14.855237919683187,13.332193431102384
63,14.315632686636182,13.450791935442966,14.933352553321734,13.422939600498587
64,14.246087980063676,13.374014900701669,14.87930962302826,13.414569974964076
65,14.220188008356162,13.332293067365558,15.196510777057895,13.588492456656638
66,14.061371588439613,13.32947011953135,15.115454137653288,13.458205116663493
67,14.096023694548954,13.35014913257216,15.185135830041528,13.411703586641863
68,13.909551781053455,13.372517168578188,15.633006370929692,13.615660930020866
69,13.805757182015988,13.40408742857091,15.677923904714184,13.588351709317584
70,13.968398786859584,13.452816703508468,15.794426223405242,13.557241124709982
71,14.13367943628058,13.51426934109605,15.678055487193486,13.48373916436976
72,14.130731536576308,13.573056016170357,15.59878977459683,13.414358692657265
