task,lookback,horizon,MAE,RMSE,sMAPE,BASE_MAE,BASE_RMSE,BASE_sMAPE,Params,Train_Wall_Sec,Train_CPU_Sec,Avg_CPU_Usage_Pct,Peak_RAM_MB,Infer_Wall_Sec,Infer_CPU_Sec,Infer_Avg_CPU_Pct,Latency_ms_per_sample,Size_MB
ENERGY,24,12,879.4914856135141,1298.8550914463958,109.01861418762289,529.199573972184,855.5122188501103,71.35719002826714,375844,529.461626291275,525.73,99.29520363592466,666.62890625,11.293148279190063,2.030000000000033,17.975501160652637,1.294492008160255,1.4280157089233398
ENERGY,24,24,1147.5711365229542,1724.2943922232162,102.37920379468295,582.3679981634527,910.7851314639735,74.29024233054237,417352,518.152327299118,514.5600000000001,99.30670439755755,683.54296875,12.64125680923462,2.0000000000000266,15.821211689481682,1.4510166218129728,1.5763893127441406
ENERGY,24,72,1932.6092690879175,2892.165895037776,116.27475930771007,685.9860769125543,1039.1300869789088,80.32403324551134,583384,521.4939305782318,518.4300000000001,99.41247052006254,729.59375,21.684930562973022,2.3599999999999532,10.883133764927285,2.5028774888011336,2.170304298400879
ENERGY,72,12,28020.957154318305,90536.82645534624,143.25032870493467,528.975212591568,855.3350395664244,71.37976784698094,375844,1601.142280817032,1590.37,99.32721276890302,807.984375,13.055375337600708,3.8699999999999353,29.64296238082081,1.5047689416321701,1.4308605194091797
ENERGY,72,24,50361.19228917932,118511.73463748874,179.89243531340375,581.803205473479,910.1647565136567,74.307414780932,417352,1588.812902212143,1577.66,99.29803552094684,769.29296875,13.833356618881226,4.019999999999956,29.060192047048332,1.5966478091968173,1.5677738189697266
ENERGY,72,72,215771.200395166,307780.9306198454,196.65710615379615,685.7834412290656,1038.8751584756155,80.37422880397304,583384,1613.6059181690216,1600.95,99.21567477991266,804.75,24.325870513916016,4.209999999999869,17.306677668910016,2.8233368748741894,2.07096004486084
ENERGY,168,12,73958.81861351554,287492.3574453199,166.3937246611841,528.5902486402487,854.9535815920223,71.46606327352953,375844,3546.752193212509,3522.5399999999995,99.3173418413938,1272.8359375,16.640581846237183,7.6600000000000374,46.032044256506204,1.9394617536406973,1.4316911697387695
ENERGY,168,24,1261.9030328825972,2091.3814373658574,106.88734061179387,581.3988516702977,909.73993948578,74.402243893945,417352,3831.008800506592,3812.96,99.52887603640572,1287.6796875,17.82068705558777,7.629999999999854,42.815408722456795,2.079912121333773,1.477458953857422
ENERGY,168,72,1406.6075049701428,2332.3026500320316,114.66381135981474,685.9558446357155,1039.3666590168075,80.47199631882485,583384,3595.22029876709,3578.15,99.5251946376431,1326.83203125,26.650312900543213,7.729999999999852,29.005287963588195,3.1279709977163397,2.187969207763672
ENERGY,24,12,879.4914856135141,1298.8550914463958,109.01861418762289,529.199573972184,855.5122188501103,71.35719002826714,375844,284.4090967178345,277.07,97.41952813657164,668.80859375,12.825735330581665,2.1700000000000124,16.919107903512305,1.470166819186344,1.4279184341430664
ENERGY,24,24,1147.5711365229542,1724.2943922232162,102.37920379468295,582.3679981634527,910.7851314639735,74.29024233054237,417352,278.4603452682495,276.38,99.25291148143717,674.91015625,12.440962076187134,2.1199999999999934,17.040482777918122,1.4280259499755663,1.5761775970458984
ENERGY,24,72,1932.6092690879175,2892.165895037776,116.27475930771007,685.9860769125543,1039.1300869789088,80.32403324551134,583384,279.9902148246765,277.83,99.22846774269264,729.41015625,22.35633659362793,2.4400000000000444,10.914131614459144,2.5803712596523463,2.168978691101074
