horizon,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
12,216.21543536006544,221.26859659482548,340.2349606668041,325.31910899915204
24,276.7047125856902,273.33815963376856,383.8054245476001,370.8048413229136
72,353.7128293967496,357.75045930129147,416.39055900841794,401.883669983465
