horizon,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
12,61.48507364332138,60.91263853188023,80.83322543299158,58.98025882237318
24,65.62757203105473,65.82821885445381,81.66785166299509,59.87681138972395
72,68.91037309403148,69.86228228697645,78.41527338426677,56.64066280614048
