horizon,CNN,LSTM,dCeNN+ELM,dCeNN+ELM+ASP
12,357.7714258240174,362.7184857096352,713.9637225966042,713.451158678571
24,438.1087142951558,457.3825302471257,658.0005863424757,657.6354631287597
72,526.2402285040773,551.6475090862875,630.9895069090356,630.5756495760494
