model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,39.756288516097,13.101601223184028,69.66119886497562,0.984964468982696,-0.576980382331581,0.2154591559947642
LSTM,41.39027668726573,13.142123723656418,70.1587811529142,0.9837031464522422,1.3550080026157,0.2243145528490983
dCeNN+ELM,62.07235078379482,15.45841903912111,73.938461446383,0.9633897195723404,-0.9032181268253684,0.3356459166863353
dCeNN+ELM+ASP,53.11649040548609,13.456711060245702,54.59283726850924,0.973191938381097,-0.422310319944138,0.2872185906960163
