model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,359.9333301898348,216.21543536006544,60.94585019884301,0.9875289661454112,-11.10657444225034,0.1357719946650865
LSTM,367.3618527682941,221.26859659482548,60.68185002384445,0.9870088845469932,-15.347422438176167,0.138574139516079
dCeNN+ELM,501.049253178002,340.2349606668041,73.1017628710132,0.9758544672484312,-67.05335802150123,0.1889670996102155
dCeNN+ELM+ASP,496.3227041221942,325.31910899915204,51.308315037668976,0.97630786282296,-73.82776313849834,0.1871845158411023
