model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,36.48455286604263,11.51490178942299,66.93452332630342,0.9873344860813924,-0.7424315889920977,0.1978299786035413
LSTM,38.19859081789228,11.568825557400432,67.41581447332517,0.9861164846893852,1.2631179776626178,0.2071239966112465
dCeNN+ELM,43.53139164219405,14.938592469469045,71.82354603635945,0.981988403289532,-1.4640942966353565,0.2355316724508479
dCeNN+ELM+ASP,42.43960738017287,13.281484134928856,53.453427941282136,0.9828805492534112,-0.97958457250969,0.2296244463436973
