model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,547.4509656661699,353.7128293967496,69.39758578454914,0.971185707963144,-20.990614885495315,0.2063971022805127
LSTM,561.6823274695053,357.75045930129147,69.13825945029161,0.9696681415617004,-19.42396606966892,0.2117625359392875
dCeNN+ELM,625.4957790696755,416.39055900841794,79.920070947428,0.9623958255284788,-38.24069609589796,0.2358111729578538
dCeNN+ELM+ASP,618.5864059437496,401.883669983465,58.052488786237056,0.9632220061608516,-42.77984475157037,0.2332063474166625
