model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,9.993425022528678,7.364037469186687,11.115878533737815,0.7308122279427354,1.2328470554352533,0.1358136046170312
LSTM,10.28949182083211,7.629565932035183,11.551559419591516,0.7146259598813332,1.1316416741107838,0.1398372400567694
dCeNN+ELM,21.63550726750441,11.59019155413746,17.15431522916976,-0.2521280406676249,2.534967231413562,0.2938770458919073
dCeNN+ELM+ASP,14.554925819628396,11.257246920094762,17.036323792051856,0.4333243259913856,2.515107285132358,0.1977008696936192
