model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,9.945036653084946,7.334375859524094,11.119004953420736,0.7334127422461809,1.4339601676450546,0.1351559923508783
LSTM,10.119010558340428,7.468090682291878,11.320292765772312,0.7240040499706977,1.0050917551777006,0.1375203492284036
dCeNN+ELM,10.433497278044412,7.707467931008896,11.658584134649372,0.7069520779313463,1.256492928538176,0.1417358507443322
dCeNN+ELM+ASP,10.41675666046778,7.669901641195345,11.624130688846348,0.7078917182776265,1.2219704310317916,0.1415084346046642
