model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,0.4793406381113009,0.1841624007986658,175.01394017583178,0.0508822929896455,-0.0567107083875547,3.2985243325700955
LSTM,0.4825716759476598,0.1824055773446853,174.70023058478375,0.0380439461422374,-0.0498601187390496,3.320758326676412
dCeNN+ELM,0.5101205232500386,0.2712075588158622,174.64272855027434,-0.0658837847705184,0.0445209471847686,3.5005140069372245
dCeNN+ELM+ASP,0.508954194902011,0.2603062699743937,145.10285754931385,-0.0610153302055029,0.0402536563969765,3.492510508679701
