model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,1.1894014023088508,0.8958439600016969,45.24342433877764,0.2272223204364465,-0.1299720560870818,0.554256153600201
LSTM,1.2075263766437887,0.908391483153938,45.41589795285456,0.2034905561431643,-0.1224033027991949,0.5627023169723678
dCeNN+ELM,1.2565351763977484,0.96115405960273,48.304980681775575,0.1382206696058009,-0.0096961676786878,0.5847782705683245
dCeNN+ELM+ASP,1.2564199410095307,0.9610291384985556,48.30498068047812,0.138378727929793,-0.0095712465745133,0.5847246412292532
