model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,2.1359005643606825,1.6036312511209152,41.735392657938114,0.9354111110516964,-0.100768411564192,0.2654313419585057
LSTM,2.194704355130757,1.6524397110754627,42.21006121213125,0.931805742705318,0.128296565281921,0.2727389710479806
dCeNN+ELM,2.260168596900612,1.7234563118261017,44.193364232386095,0.9278229110995984,-0.1331820310184452,0.2803488251665431
dCeNN+ELM+ASP,2.260168596900612,1.7234563118261017,44.193364232386095,0.9278229110995984,-0.1331820310184452,0.2803488251665431
