model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,1.8384268145386544,1.350456921174176,0.1562454755906401,0.933691333752552,0.2415272903863864,0.0021242019242989
LSTM,2.01804556747404,1.4960573950499476,0.1730904648853916,0.9201013322998064,-0.2510094944398035,0.0023317415976806
dCeNN+ELM,10.92140718000452,4.377283902527662,0.5035384209009726,-1.371396874577338,-0.0302592015951848,0.0126174484917002
dCeNN+ELM+ASP,6.306703953586409,4.26832291159226,0.4930860354331723,0.2092268132505329,-0.0343465868780199,0.0072861043430802
