model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,50.06249614870173,28.96149397028984,113.59459606277728,0.9080625068265812,-0.643840838519624,0.4490590484097972
LSTM,52.30788395893909,28.800144278762883,112.77916427626518,0.8996304536983154,-2.3270869149513898,0.4692001079043366
dCeNN+ELM,112.96565050294996,89.36222666014079,128.54831275257848,0.5344423394348126,18.750024080582296,1.0077477034641429
dCeNN+ELM+ASP,102.79257804403495,67.08174697253484,63.19210135114183,0.6145179332116304,-3.5159244176495,0.9169954229080438
