model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,448.4588092955834,331.01330405732267,4.736012949916275,0.8753704246266296,13.76115384821735,0.0638503282930266
LSTM,440.7156327794736,314.3381302015524,4.480049699782125,0.8796370265729959,-20.44068631878076,0.0627478761785034
dCeNN+ELM,621.6840161429503,498.2942620292876,7.183299580512784,0.7606921184318622,-37.83582698003502,0.0884818677699625
dCeNN+ELM+ASP,621.6840161429503,498.2942620292876,7.183299580512784,0.7606921184318622,-37.83582698003502,0.0884818677699625
