model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,2.607196853688193,2.0104926169830497,48.79842630842905,0.903865676492307,-0.3327431791745867,0.3238033649707829
LSTM,2.652282373330474,2.031495674909637,49.179648868009664,0.9005120811981173,0.1129083574047884,0.3294028052090507
dCeNN+ELM,2.6722464928387413,2.0405696526325965,49.34412450073871,0.8995610616059017,-0.0355244045085418,0.3300549844698488
dCeNN+ELM+ASP,2.6722464928387413,2.0405696526325965,49.34412450073871,0.8995610616059017,-0.0355244045085418,0.3300549844698488
