model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,2.7327078052751665,1.9488478233393,0.2255616717896814,0.8535607456613723,-0.1134104572063427,0.0031575207229265
LSTM,2.817850165818627,2.0382021286583,0.2359084665751018,0.8442934409309975,-0.1569303477862422,0.0032558988837002
dCeNN+ELM,3.1160667161432887,2.2778007716332733,0.2636209700683047,0.8098898845073988,-0.3571874579414155,0.0036005237394423
dCeNN+ELM+ASP,3.0997999798737275,2.2702651880624503,0.2627251638344364,0.811869559277901,-0.2630559654457692,0.0035817280025608
