model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,0.4650621287570179,0.1677801374165196,174.72108305963712,0.1054610075592613,-0.0545380473533318,3.204558811045717
LSTM,0.468230005662718,0.1643800081264853,175.73792885691418,0.0932327879667199,-0.0598355774482874,3.226387395277252
dCeNN+ELM,0.4979421778609437,0.2482152907158767,175.08114161842775,-0.0176880458176746,0.0043358036071969,3.40249374662551
dCeNN+ELM+ASP,0.4939172080428204,0.2215206658805926,110.82924386411,-0.0013021729989035,0.0122331704034302,3.3749906845323343
