model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,1.8384962125300637,1.3415378476522688,0.1552168726783341,0.9336863275428212,0.1005482826432023,0.0021242821098933
LSTM,1.9992343561747683,1.4759703482946414,0.1707987909735056,0.9215839407016376,-0.0876366618238513,0.002310006268907
dCeNN+ELM,2.597592675619325,1.9775526592840296,0.2287698418227214,0.8680408073240612,-0.268299225894687,0.0030013727728784
dCeNN+ELM+ASP,2.6351933525805777,2.003212615863618,0.2317941565211295,0.8641928859590958,-0.1922950897052648,0.0030448182480418
