model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,355.526767777418,257.68380774860134,3.6950691123085626,0.921612973250873,20.62097070301338,0.0506257514278178
LSTM,365.1580500499509,267.7591529247688,3.849534176549616,0.9173084102624594,-22.658424727706976,0.0519972118815794
dCeNN+ELM,966.8490276040854,780.7045413214105,11.170630658809667,0.4219238288847747,-260.85567482689913,0.1376090865546786
dCeNN+ELM+ASP,966.8490276040854,780.7045413214105,11.170630658809667,0.4219238288847747,-260.85567482689913,0.1376090865546786
