model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,81.53144005021112,49.45194978721619,118.0208217163963,0.8769118987312373,-0.7074525030643848,0.5189964091088738
LSTM,84.27180000671102,46.52510235927016,117.59304145837508,0.8684985968554411,5.326839602315577,0.5364404402239052
dCeNN+ELM,92.26794847133148,58.74339281395807,120.48887059624845,0.8432033149926685,-4.391262279774008,0.5842378553315495
dCeNN+ELM+ASP,89.9661625141551,49.21501429715883,39.21101636380218,0.8509288711967207,-2.233888148972109,0.5696630163616461
