model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,13.262438843535698,10.139215298975564,15.36687186805473,0.5274706150445534,2.6367681208258205,0.1801634598480491
LSTM,13.48326707020001,10.342520290694804,15.64137866936839,0.5116037662800517,1.8851442287157896,0.1831632985517234
dCeNN+ELM,60.1886876571049,13.996812642170116,19.71301361980704,-8.648576817632415,2.999364217188553,0.8173770752880563
dCeNN+ELM+ASP,16.695122828584005,12.636080878740833,19.24871751832051,0.2576431031379952,2.4247889755467167,0.2267238446358118
