model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,0.491658505686592,0.1853433633540202,176.19754828074224,0.006492115943846,-0.0644701655924325,3.3649806289557813
LSTM,0.4917318541919309,0.1981817097295865,174.33839538757655,0.0061956591419994,-0.0412568889475997,3.3654826365418877
dCeNN+ELM,0.5020308795418481,0.2622907502648375,175.56402830189714,-0.0329395488073598,0.0257114428776384,3.431868162521269
dCeNN+ELM+ASP,0.4996686418982667,0.2419454580688857,125.64208268387394,-0.0232417069922543,0.0297387510535949,3.415719976240946
