model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,4.845712249845863,3.561613712571036,0.4121996379244532,0.5413933804500835,-0.3832235715939284,0.005599028723669
LSTM,5.370562746208635,3.944671135833124,0.4566711517213816,0.4366676824508928,-0.4522017436515882,0.0062054726999617
dCeNN+ELM,5.07337227012334,3.6761361108061874,0.4254159026580967,0.4922582166353064,-0.4605708448409444,0.0058616569428675
dCeNN+ELM+ASP,5.068286781302762,3.6770798193096166,0.4255267422510813,0.4932756152745792,-0.4324384870561643,0.0058557812867426
