model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,58.40006303081918,34.44918577361146,116.26553567937596,0.8750162095487508,-3.113452255382482,0.5235485805088994
LSTM,57.39787388247904,31.08824833131365,113.8668394955602,0.8792690351906136,-3.508858428362156,0.5145640918151456
dCeNN+ELM,100.75638039382662,88.86609379396909,126.08882117386018,0.6286735523351291,49.67708739304092,0.9015887490677637
dCeNN+ELM+ASP,83.91318313806623,58.31020649575923,60.63602781518691,0.7424443035558924,19.083165567417737,0.7508723667923535
