model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,56.35398357971744,34.28710599376956,115.9806873496518,0.883620549541848,-0.5068435929276461,0.5052057579734608
LSTM,60.04653979427183,34.65467379433456,115.80976111202794,0.8678695141045124,-1.276327983229951,0.538309019583967
dCeNN+ELM,122.51460880089412,90.45548236201556,131.34709095756506,0.4529602718855907,-5.252044753809355,1.092038788043227
dCeNN+ELM+ASP,116.48485559181194,72.05867381455396,65.739541417098,0.5054820689549571,-23.309125576653425,1.0382923454671658
