model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,503.9020138982295,357.2560279765674,65.65340154241868,0.5823302244410857,-34.88674308924229,0.6153330988532008
LSTM,514.0983840024179,368.7268482178748,65.97204465413262,0.5652562589428883,-41.071954819971424,0.6277842576900685
dCeNN+ELM,654.4476715863528,484.0099636042736,87.26274801077597,0.2941197764435841,-206.0060549856289,0.8005164625267974
dCeNN+ELM+ASP,646.3305209629178,471.77664162000167,87.26274800216353,0.3115213296227564,-193.77273300135695,0.7905876126202515
