model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,721.9634969927107,561.118049727241,84.46457371393709,0.1430745790949235,-86.8371964983909,0.8819553901088382
LSTM,737.856370657291,571.3719806619679,85.21717066440267,0.1049316318020541,-91.19766518655068,0.9013702298496028
dCeNN+ELM,868.0950894355855,642.7358154921354,105.37592491321668,-0.2394587950287117,-329.50827351960857,1.061328921068864
dCeNN+ELM+ASP,854.8551185032458,627.8159503899175,105.3759249080602,-0.2019392768248933,-314.5884084173905,1.045141795677175
