model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,11.401426423343908,8.54329971120857,12.853396431706848,0.6498639412908809,1.65447195584751,0.154942618808738
LSTM,11.76486218206164,8.812881772536624,13.30579217689833,0.6271860547064703,0.9574091256103714,0.1598816225906832
dCeNN+ELM,14.710807904663127,11.388149975376118,17.191775761362724,0.4215319474940113,3.354932581881218,0.1998078847787586
dCeNN+ELM+ASP,14.69575228303392,11.382862417220402,17.19343694484475,0.4227153956787667,3.3630160608007422,0.1996033935005598
