model_label,RMSE,MAE,sMAPE,R2,Bias,NRMSE_mean
CNN,2.59242607534801,1.9596403877897777,48.377863882032514,0.9049518671395274,0.0764691783097857,0.3219688936983038
LSTM,2.7043473611348223,2.0758778720128803,50.196220586354826,0.8965677967559296,0.1609703984808964,0.3358690673266817
dCeNN+ELM,3.903345584609043,3.073846583204639,64.83321601672492,0.783153013706624,-0.4140623730982548,0.4807069913037037
dCeNN+ELM+ASP,3.903345584609043,3.073846583204639,64.83321601672492,0.783153013706624,-0.4140623730982548,0.4807069913037037
