model_label,RMSE_ratio,MAE_ratio,RMSE_gain,BASE_RMSE,BASE_MAE
CNN,0.3078515260358591,0.3214605552584826,0.6921484739641409,126.7149658203125,39.72954177856445
LSTM,0.3102468850218028,0.3049211122452733,0.6897531149781971,126.7149658203125,39.72954177856445
dCeNN+ELM,0.3219501913333836,0.3492778866363863,0.6780498086666163,126.85589146155344,39.78598080325433
dCeNN+ELM+ASP,0.3127221467648186,0.2989642257252571,0.6872778532351813,126.85589146155344,39.78598080325433
