model_label,RMSE_ratio,MAE_ratio,RMSE_gain,BASE_RMSE,BASE_MAE
CNN,0.410600365873227,0.3990300350128123,0.589399634126773,855.05517578125,529.033447265625
LSTM,0.4291699882877162,0.4234833376482107,0.5708300117122838,855.05517578125,529.033447265625
dCeNN+ELM,0.783717042303767,0.857436624957036,0.2162829576962329,854.9535815920223,528.5902486402487
dCeNN+ELM+ASP,0.7685174026586219,0.8181956743700437,0.2314825973413781,854.9535815920223,528.5902486402487
