model_label,RMSE_ratio,MAE_ratio,RMSE_gain,BASE_RMSE,BASE_MAE
CNN,0.4861605952949262,0.4751175629284314,0.5138394047050738,910.6978149414062,582.3920288085938
LSTM,0.4959813678462375,0.4693370646613652,0.5040186321537625,910.6978149414062,582.3920288085938
dCeNN+ELM,0.6159625907154251,0.6590427800943092,0.3840374092845748,910.7851314639736,582.3679981634527
dCeNN+ELM+ASP,0.6115707903652131,0.6367191234619308,0.3884292096347869,910.7851314639736,582.3679981634527
