model_label,RMSE_ratio,MAE_ratio,RMSE_gain,BASE_RMSE,BASE_MAE
CNN,0.5063753256789405,0.4916080859844376,0.4936246743210595,1039.2296142578125,686.125244140625
LSTM,0.5308235200424175,0.5208337855278071,0.4691764799575825,1039.2296142578125,686.125244140625
dCeNN+ELM,0.607377606212966,0.6515290121058706,0.392622393787034,1038.8751584756155,685.7834412290656
dCeNN+ELM+ASP,0.606979235600665,0.6410812119352002,0.393020764399335,1038.8751584756155,685.7834412290656
