model_label,RMSE_ratio,MAE_ratio,RMSE_gain,BASE_RMSE,BASE_MAE
CNN,0.3127783767914592,0.3262795826079593,0.6872216232085409,126.7149658203125,39.72954177856445
LSTM,0.336001028130654,0.3464927424379365,0.663998971869346,126.7149658203125,39.72954177856445
dCeNN+ELM,0.3091917849049875,0.3251509318151198,0.6908082150950124,127.15914306320045,39.91104841772916
dCeNN+ELM+ASP,0.3035916708775862,0.286541663222097,0.6964083291224137,127.15914306320045,39.91104841772916
