task,lookback,horizon,horizon_step,model,variant,RMSE,MAE,sMAPE
ENERGY,24,72,37,CNN,baseline,580.716654885328,384.264712227691,70.79677823100171
ENERGY,24,72,38,CNN,baseline,583.8689736393103,385.7843799340088,71.04803964368898
ENERGY,24,72,39,CNN,baseline,581.3449504216978,385.1821412998088,71.04702834061104
ENERGY,24,72,40,CNN,baseline,582.1828790344172,385.7832564000783,71.1419703137907
ENERGY,24,72,41,CNN,baseline,581.0820635716665,386.9015219873502,71.32996023419209
ENERGY,24,72,42,CNN,baseline,582.0995853320518,386.9958159829071,71.16591218183233
ENERGY,24,72,43,CNN,baseline,583.8000406744942,387.5507475405562,71.06660376092326
ENERGY,24,72,44,CNN,baseline,583.0311953938049,388.643107997382,71.18912968166596
ENERGY,24,72,45,CNN,baseline,585.2972342307494,390.6439131841646,71.37510836638832
ENERGY,24,72,46,CNN,baseline,586.710225197561,390.1375994432616,71.49053918711994
ENERGY,24,72,47,CNN,baseline,584.1227811827049,387.68157778720285,71.2810162813296
ENERGY,24,72,48,CNN,baseline,585.9053436963839,387.4680345876036,71.15924033615954
ENERGY,24,72,49,CNN,baseline,589.7289848031141,389.8435755358808,71.13554559601285
ENERGY,24,72,50,CNN,baseline,595.7307963098135,393.4778400376801,71.38786005564826
ENERGY,24,72,51,CNN,baseline,597.1466246811605,394.6831351605201,71.37173174549723
ENERGY,24,72,52,CNN,baseline,599.6942605050234,396.5741450953329,71.40810752460266
ENERGY,24,72,53,CNN,baseline,603.817135852477,397.92361530390735,71.25059336431481
ENERGY,24,72,54,CNN,baseline,608.8767770036667,403.7153027950425,71.3771865763797
ENERGY,24,72,55,CNN,baseline,607.3560216675586,400.5755491985131,71.2759613558054
ENERGY,24,72,56,CNN,baseline,607.1386279607514,400.2525900011988,71.05567789343556
ENERGY,24,72,57,CNN,baseline,607.0138343307018,401.4534337956973,71.29651800670712
ENERGY,24,72,58,CNN,baseline,608.8614565880099,403.395997538292,71.69747671631896
ENERGY,24,72,59,CNN,baseline,606.4722604602013,403.0774724633033,71.59635786145732
ENERGY,24,72,60,CNN,baseline,606.8764722784017,401.8111074950097,71.41279150375318
ENERGY,24,72,61,CNN,baseline,605.4135309146792,401.6828553038097,71.21193269566334
ENERGY,24,72,62,CNN,baseline,608.1560333830001,403.4029966642591,71.36652651582713
ENERGY,24,72,63,CNN,baseline,605.4487249513971,403.4622887543962,71.55826368801632
ENERGY,24,72,64,CNN,baseline,604.972850516037,402.12562159809255,71.48775366504178
ENERGY,24,72,65,CNN,baseline,602.5409177318886,400.9609086514525,71.75407518640391
ENERGY,24,72,66,CNN,baseline,601.9589847277233,400.1482120479818,71.441477939246
ENERGY,24,72,67,CNN,baseline,601.9966931128849,401.7272960264645,71.56025244994555
ENERGY,24,72,68,CNN,baseline,600.237497995086,399.78296212224046,71.49677940179227
ENERGY,24,72,69,CNN,baseline,600.7513922491341,401.3144554364721,71.49484374291816
ENERGY,24,72,70,CNN,baseline,600.3825810111957,401.6283867333643,71.4948362444311
ENERGY,24,72,71,CNN,baseline,600.2122108631768,400.5271121254221,71.36379226601586
ENERGY,24,72,72,CNN,baseline,597.9620141172875,399.1819020357387,71.2184041494239
ENERGY,72,12,1,CNN,baseline,173.7282573699148,110.40518661611225,50.08591148759636
ENERGY,72,12,2,CNN,baseline,222.1318147953186,138.9108129837002,53.63740254442049
ENERGY,72,12,3,CNN,baseline,261.36486157750005,161.77439703261706,56.24270796996797
