model,variant,n_rows,mean_final_score,mean_compute_only,mean_compute_latency,mean_RMSE_ratio,median_RMSE_ratio,mean_latency_ms,median_latency_ms,mean_train_cpu_sec,mean_infer_cpu_sec,mean_peak_ram_mb,mean_deploy_params,pareto_share,tag,overall_rank,compute_rank,compute_latency_rank,latency_rank
CNN,baseline,18,0.21105983337893963,0.4722188838425847,0.45219337227094514,0.37900063503103465,0.362173091272346,0.7902762398762277,0.7296525867415063,1059.0972222222222,9.315000000000143,1344.8268229166667,62114.0,0.8333333333333334,CNN (baseline),1,2,3,3
LSTM,baseline,18,0.32575530425580157,0.5310647881139136,0.33053136590872545,0.39165867331147575,0.3801028938973574,0.4845344900616842,0.4792876240012508,978.5244444444444,6.619444444444456,1805.4149305555557,130756.5,0.8888888888888888,LSTM (baseline),2,4,2,2
dCeNN+ELM+ASP,asp,18,0.6440303343116952,0.5207385585185729,0.7603692792592864,0.5056876989593094,0.5509372186637367,2.360607356306464,2.1641568832497833,2166.8161111111112,4.555000000000043,967.3157552083334,1141248.0,0.16666666666666666,dCeNN+ELM+ASP (asp),3,3,4,4
dCeNN+ELM,raw,18,0.7798214762743023,0.45468191579604483,0.24543876040480775,0.5186384948066848,0.5849178134307902,0.4231712742022786,0.35458669713109264,2166.8161111111112,3.617222222222261,967.3157552083334,1141248.0,0.7222222222222222,dCeNN+ELM (raw),4,1,1,1
