model,variant,n_rows,mean_final_score,mean_RMSE_ratio,median_RMSE_ratio,mean_latency_ms,median_latency_ms,mean_peak_ram_mb,median_peak_ram_mb,mean_deploy_params,median_deploy_params,mean_infer_cpu_sec,median_infer_cpu_sec,mean_train_cpu_sec,median_train_cpu_sec,pareto_share,tag,acc_wins,latency_wins,acc_win_rate,latency_win_rate,rank
CNN,baseline,18,0.20159831302322784,0.37900064034012054,0.362173091272346,0.3925320620071245,0.3439856044682354,1370.1831597222222,1388.58984375,62114.0,58604.0,5.529999999999865,5.009999999999764,1173.7966666666666,1125.5199999999995,0.9444444444444444,CNN (baseline),15,8,0.8333333333333334,0.4444444444444444,1
LSTM,baseline,18,0.2557458621002431,0.39165867331147575,0.3801028938973574,0.46681614863705484,0.4319975353903457,1855.4222005208333,2147.39453125,130756.5,130756.5,7.601666666666678,7.940000000000282,1019.8725,929.7199999999998,0.2222222222222222,LSTM (baseline),0,2,0.0,0.1111111111111111,2
dCeNN+ELM+ASP,asp,18,0.6905411682748724,0.7387347303869248,0.7352077545602358,2.3840527929495763,2.1718678069509685,906.359375,868.359375,1134720.0,1068160.0,4.66833333333329,4.2050000000000125,2144.5377777777776,1597.775,0.16666666666666666,dCeNN+ELM+ASP (asp),3,0,0.16666666666666666,0.0,3
dCeNN+ELM,raw,18,0.7554084794123926,0.7526271832453589,0.7668545313461845,0.4247552064209932,0.36003920829082253,906.359375,868.359375,1134720.0,1068160.0,3.6266666666666207,3.1149999999998954,2144.5377777777776,1597.775,0.5,dCeNN+ELM (raw),0,8,0.0,0.4444444444444444,4
